type_token_ratio,number_of_sentences,size_of_sentences_in_words,verb_to_token_ratio,noun_to_token_ratio,adjective_to_token_ratio,adverb_to_token_ratio,pronoun_to_token_ratio,stopword_to_token_ratio,pausality,num_palavras,num_tokens,num_sentencas,media_tokens_sentenca,total_silabas,media_silabas_palavra,num_palavras_complexas,percentual_palavras_complexas,gunning_fog,brunet,informalidade,especificidade,numero_de_exclamacoes,label
0.6257309941520468,24,7.125,0.15204678362573099,0.30409356725146197,0.05263157894736842,0.05263157894736842,0.06432748538011696,0.47953216374269003,5.75,171,213,24,7.125,354,2.0701754385964914,46,26.900584795321635,2.9576023391812867,10.785882444200016,1.2456140350877194,0.04093567251461988,0,1
0.5904059040590406,30,9.033333333333333,0.13653136531365315,0.2730627306273063,0.05904059040590406,0.07011070110701106,0.09225092250922509,0.5461254612546126,4.871428571428571,271,368,30,9.033333333333333,530,1.955719557195572,67,24.723247232472325,3.712226322263223,11.299754406302918,1.3579335793357934,0.025830258302583026,0,1
0.6312056737588653,16,8.8125,0.12056737588652482,0.3829787234042553,0.06382978723404255,0.028368794326241134,0.0425531914893617,0.45390070921985815,5.7,141,178,16,8.8125,309,2.1914893617021276,34,24.113475177304963,3.62145390070922,10.587213141933677,1.2624113475177305,0.028368794326241134,1,1
0.7472527472527473,9,10.11111111111111,0.13186813186813187,0.3956043956043956,0.07692307692307693,0.03296703296703297,0.03296703296703297,0.4175824175824176,5.7894736842105265,91,118,9,10.11111111111111,204,2.241758241758242,22,24.175824175824175,4.141147741147741,9.473634502238937,1.2967032967032968,0.06593406593406594,3,1
0.5214723926380368,25,13.04,0.12576687116564417,0.3834355828220859,0.049079754601226995,0.03067484662576687,0.024539877300613498,0.4263803680981595,12.642857142857142,326,360,25,13.04,659,2.021472392638037,64,19.631901840490798,5.294527607361964,11.939220904814231,1.1042944785276074,0.03680981595092025,0,1
0.5782312925170068,17,17.294117647058822,0.16666666666666666,0.29591836734693877,0.027210884353741496,0.03741496598639456,0.0782312925170068,0.5340136054421769,6.25,294,352,17,17.294117647058822,552,1.8775510204081634,69,23.46938775510204,7.011524609843938,11.422152806916511,1.1972789115646258,0.006802721088435374,0,1
0.6761363636363636,11,16.0,0.10227272727272728,0.3806818181818182,0.08522727272727272,0.022727272727272728,0.022727272727272728,0.4772727272727273,8.652173913043478,176,206,11,16.0,384,2.1818181818181817,39,22.15909090909091,6.488636363636364,10.485461198304888,1.1704545454545454,0.03977272727272727,0,1
0.8080808080808081,9,11.0,0.1717171717171717,0.31313131313131315,0.06060606060606061,0.09090909090909091,0.04040404040404041,0.42424242424242425,4.3,99,143,9,11.0,214,2.1616161616161618,33,33.33333333333333,4.533333333333334,9.299012904566492,1.4444444444444444,0.0,0,1
0.616822429906542,8,13.375,0.08411214953271028,0.37383177570093457,0.08411214953271028,0.028037383177570093,0.009345794392523364,0.35514018691588783,8.133333333333333,107,125,8,13.375,244,2.2803738317757007,33,30.8411214953271,5.473364485981309,10.389030545545554,1.1682242990654206,0.07476635514018691,0,1
0.6698113207547169,5,21.2,0.14150943396226415,0.3018867924528302,0.0660377358490566,0.05660377358490566,0.02830188679245283,0.4811320754716981,6.578947368421052,106,135,5,21.2,217,2.047169811320755,28,26.41509433962264,8.585660377358492,10.054984026801144,1.2735849056603774,0.02830188679245283,0,1
